                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.91969,                0.73961,                 1.0221,                0.96207,                 0.9375,                0.97157,                0.78978,                0.68085,                0.53197,                0.86943,               0.004852,               0.004852,               0.004852
                     54,                0.91625,                0.72606,                 1.0254,                      1,                0.93523,                0.97881,                0.78921,                0.68563,                0.49891,                0.87727,               0.004753,               0.004753,               0.004753
                     55,                 0.8862,                0.68113,                0.99872,                0.98665,                0.95536,                0.97655,                0.78667,                0.72537,                0.50936,                0.88353,               0.004654,               0.004654,               0.004654
                     56,                0.88938,                0.69638,                 1.0121,                0.99054,                 0.9351,                0.97606,                0.80371,                0.67526,                0.49202,                0.87345,               0.004555,               0.004555,               0.004555
                     57,                0.87214,                0.66896,                0.99835,                0.96347,                0.94198,                0.97184,                 0.8131,                0.64852,                0.48987,                0.85841,               0.004456,               0.004456,               0.004456
                     58,                0.85112,                0.66748,                 1.0026,                 0.9863,                0.91071,                0.95594,                0.79424,                0.64592,                 0.5194,                0.87017,               0.004357,               0.004357,               0.004357
                     59,                0.88161,                 0.6843,                 0.9974,                0.96979,                0.91964,                 0.9645,                0.79583,                0.68041,                0.54555,                0.88079,               0.004258,               0.004258,               0.004258
                     60,                0.88059,                0.68121,                 1.0036,                0.98946,                 0.9375,                0.97061,                0.78873,                0.66253,                0.50393,                0.86941,               0.004159,               0.004159,               0.004159
                     61,                0.86867,                0.66917,                0.98723,                      1,                0.92018,                0.96647,                0.78807,                0.68174,                0.50994,                0.87104,                0.00406,                0.00406,                0.00406
                     62,                0.85323,                0.66112,                0.98653,                0.91906,                0.94643,                0.96905,                0.80044,                0.66456,                0.49764,                0.86728,               0.003961,               0.003961,               0.003961
                     63,                 0.8343,                 0.6618,                0.99048,                0.96344,                0.94105,                0.96106,                0.81236,                0.62683,                0.50769,                0.85783,               0.003862,               0.003862,               0.003862
                     64,                0.83343,                0.63255,                0.98483,                0.98461,                0.94643,                0.97498,                0.82176,                0.61656,                0.46292,                0.84768,               0.003763,               0.003763,               0.003763
                     65,                0.83314,                0.64688,                0.98658,                0.97974,                0.92857,                0.96674,                0.81254,                 0.6297,                0.48574,                0.85604,               0.003664,               0.003664,               0.003664
                     66,                0.79602,                 0.6163,                0.96544,                0.97159,                0.91964,                0.96796,                0.81306,                0.62997,                0.50007,                0.85277,               0.003565,               0.003565,               0.003565
                     67,                0.79057,                0.61092,                0.97727,                0.97145,                0.91133,                0.97393,                0.82302,                0.62102,                0.50044,                0.85415,               0.003466,               0.003466,               0.003466
                     68,                0.80831,                 0.6154,                0.97285,                0.97904,                0.94643,                 0.9775,                0.82401,                0.60427,                0.45308,                0.84344,               0.003367,               0.003367,               0.003367
                     69,                0.82694,                0.63458,                0.99248,                 0.9564,                0.96429,                0.98079,                0.82596,                0.63753,                0.43289,                0.85174,               0.003268,               0.003268,               0.003268
                     70,                0.80014,                0.60994,                 0.9733,                0.98189,                 0.9375,                0.98082,                0.82072,                0.64993,                0.43744,                0.85493,               0.003169,               0.003169,               0.003169
                     71,                0.77799,                0.60563,                0.96031,                0.97247,                0.94605,                0.98127,                 0.8355,                0.59742,                0.41804,                0.83944,                0.00307,                0.00307,                0.00307
                     72,                0.76862,                0.59209,                0.96033,                0.97597,                0.94643,                0.97804,                0.81795,                0.65979,                0.44758,                0.86156,               0.002971,               0.002971,               0.002971
                     73,                0.74478,                 0.5785,                0.95494,                0.95197,                0.96429,                0.98209,                0.82574,                0.65139,                0.44277,                0.85775,               0.002872,               0.002872,               0.002872
                     74,                0.76421,                0.58291,                0.96438,                0.97162,                0.94643,                0.98085,                0.83381,                0.60502,                0.44061,                0.84456,               0.002773,               0.002773,               0.002773
                     75,                0.75809,                0.57753,                0.97359,                0.98998,                0.92857,                 0.9662,                 0.8234,                0.60205,                0.47282,                0.84505,               0.002674,               0.002674,               0.002674
                     76,                 0.7389,                0.58428,                0.94369,                 0.9811,                0.92857,                0.96868,                0.81776,                0.62122,                0.47507,                0.85851,               0.002575,               0.002575,               0.002575
                     77,                 0.7584,                0.58099,                0.96478,                 0.9889,                0.94643,                  0.966,                0.81262,                0.63099,                0.47116,                 0.8601,               0.002476,               0.002476,               0.002476
                     78,                0.73845,                0.55069,                0.94152,                0.99063,                0.94415,                0.97444,                0.83512,                0.58915,                0.42296,                0.85118,               0.002377,               0.002377,               0.002377
                     79,                0.72357,                 0.5565,                0.94619,                0.98129,                0.96429,                0.97858,                 0.8278,                0.61097,                0.43061,                 0.8588,               0.002278,               0.002278,               0.002278
                     80,                0.72296,                0.54888,                0.94933,                0.98959,                0.96429,                0.98372,                0.83195,                0.60197,                0.41671,                0.85934,               0.002179,               0.002179,               0.002179
                     81,                0.71388,                0.54571,                0.93793,                0.98192,                0.97007,                0.98549,                0.83689,                0.58752,                0.40052,                0.84708,                0.00208,                0.00208,                0.00208
                     82,                0.71254,                0.54555,                0.94399,                0.97976,                0.96429,                 0.9827,                0.83529,                 0.6037,                0.41078,                0.84785,               0.001981,               0.001981,               0.001981
                     83,                0.69427,                0.52043,                0.93555,                0.98002,                0.94643,                0.97741,                0.85033,                0.58673,                0.42574,                0.84264,               0.001882,               0.001882,               0.001882
                     84,                0.68665,                0.52719,                0.92408,                0.98807,                0.94643,                0.97855,                0.84239,                0.57986,                0.42292,                0.83948,               0.001783,               0.001783,               0.001783
                     85,                0.69328,                0.52543,                0.92823,                0.98891,                0.94643,                0.98379,                0.84015,                0.57501,                0.40896,                0.83501,               0.001684,               0.001684,               0.001684
